Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,57.45,-129.5,0.0,top
J1,Conn_01x08,PinHeader_1x08_P2.54mm_Vertical,50.505,-118.015,0.0,bottom
J2,Conn_01x08,PinHeader_1x08_P2.54mm_Vertical,73.485,-118.015,0.0,bottom
R1,100,R_0805_2012Metric,66.5,-129.53,180.0,top
R2,10K,R_0805_2012Metric,62.0,-129.53,180.0,top
U2,RC-S2LP-868,RC-S2LP-868,62.22,-114.815,0.0,top
